HPE001   | Vijay           | 14    | 99    | 98    | 97    | 96    |  97.5 |     3
HPE002   | Aryan           | 14    | 98    | 91    | 93    | 96    |  94.5 |     9
HPE003   | Muni            | 14    | 97    | 98    | 97    | 94    |  96.5 |     4
HPE004   | Abhi            | 14    | 96    | 93    | 97    | 95    | 95.25 |     7
HPE005   | Hemanth         | 14    | 94    | 91    | 93    | 96    |  93.5 |    10
HPE006   | Grace           | 14    | 94    | 95    | 96    | 97    |  95.5 |     5
CAP007   | Ankita          | 14    | 99    | 99    | 99    | 99    |  99.0 |     1
HPE008   | John            | 14    | 96    | 93    | 97    | 95    | 95.25 |     7
HPE009   | Chris           | 14    | 94    | 91    | 93    | 96    |  93.5 |    10
ORA006   | Grace           | 14    | 94    | 95    | 96    | 97    |  95.5 |     5
INF007   | Ankita          | 14    | 99    | 99    | 99    | 99    |  99.0 |     1
